X,Y,Z
-49,-77,56
-52,-69,51
-59,-59,47
-59,-56,45
-52,-63,43
-54,-62,44
-58,-55,40
-67,-42,33
-76,-22,29
-81,19,26
-75,49,30
-56,76,44
-42,92,49
-21,113,53
19,127,53
51,127,51
65,125,49
82,114,57
88,93,66
101,69,73
104,56,69
112,46,66
109,36,70
114,22,67
117,7,66
114,-8,64
106,-26,63
97,-44,58
85,-59,57
67,-72,47
41,-82,39
25,-85,33
3,-83,32
-20,-76,24
-43,-65,20
-55,-54,19
-62,-41,20
-71,-24,20
-78,-14,20
-80,-8,18
-82,15,17
-82,50,22
-73,72,32
-61,89,35
-41,110,35
-13,124,35
17,133,29
44,133,26
66,129,24
91,118,23
105,104,19
120,85,15
133,66,9
136,43,10
139,26,19
139,5,25
136,-15,29
125,-32,28
115,-51,21
107,-62,22
91,-74,25
72,-85,25
42,-89,27
19,-88,24
5,-84,27
-20,-75,30
-45,-64,21
-56,-53,17
-59,-46,13
-73,-34,7
-81,11,21
-79,46,31
-65,73,33
-38,107,35
33,128,30
56,125,29
77,116,27
99,105,25
96,105,22
86,108,25
85,109,28
86,110,29
89,110,32
92,107,32
80,112,30
47,126,28
15,126,25
-1,123,24
-31,111,22
-55,84,22
-67,61,24
-75,42,19
-75,24,21
-60,-30,30
-44,-49,26
-25,-63,22
-7,-73,19
13,-78,10
38,-78,3
64,-72,-2
85,-61,-12
96,-50,-17
107,-39,-24
125,-19,-24
137,31,-3
132,56,4
116,83,4
105,95,3
97,103,2
88,106,3
74,113,3
53,122,8
28,124,14
7,122,19
-15,115,19
-21,109,17
-31,103,18
-41,94,21
-53,86,22
-60,76,21
-67,65,25
-68,43,31
-73,27,32
-71,9,32
-73,-2,33
-67,-21,31
-57,-41,23
-38,-60,21
-17,-79,7
9,-89,-4
33,-91,-7
60,-88,-7
74,-85,-9
82,-84,-16
92,-76,-17
106,-64,-19
123,-34,-26
145,31,-16
135,62,-10
125,85,-9
112,100,-4
85,121,7
68,131,15
56,135,18
31,136,24
3,131,28
-5,127,30
-20,119,23
-37,106,20
-53,84,20
-65,65,15
-71,45,14
-72,19,21
-73,-6,24
-65,-23,19
-56,-43,17
-46,-53,16
-36,-66,14
-21,-72,11
-7,-76,7
7,-80,4
32,-82,-2
52,-82,-9
74,-73,-19
101,-59,-18
126,-36,-9
140,-7,6
140,18,15
142,40,18
134,54,19
126,68,24
118,82,24
107,93,26
93,104,29
74,115,35
63,119,34
49,125,34
32,130,26
7,132,10
-15,133,-3
-26,127,-4
-47,116,-8
-49,113,-13
-27,129,-7
-20,130,8
-19,128,8
-14,130,7
-3,133,10
-3,132,17
-5,130,30
-9,130,38
-10,130,45
-11,130,48
-13,132,47
-9,133,47
-7,135,40
-5,132,32
-10,132,23
-16,129,15
-17,127,10
-22,125,10
-27,120,7
-31,118,4
-38,116,3
-43,109,3
-54,102,5
-62,90,7
-68,79,8
-76,70,8
-80,55,10
-85,37,10
-81,10,11
-76,-11,12
-69,-27,12
-56,-45,11
-46,-58,12
-28,-71,6
15,-87,-3
33,-88,-3
61,-84,-8
97,-69,-7
123,-48,1
141,-26,14
147,-7,22
149,16,23
143,42,22
135,70,22
123,89,22
132,82,21
147,46,24
129,-38,25
110,-65,26
85,-80,26
59,-87,20
21,-89,19
-19,-78,14
-47,-58,12
-63,-38,14
-75,-21,15
-80,12,17
-86,35,18
-85,39,18
-82,22,14
-82,-11,16
-56,-46,20
-23,-75,20
7,-89,17
47,-94,11
69,-90,15
70,-87,15
71,-87,18
69,-85,14
72,-87,17
70,-92,18
73,-98,21
83,-105,29
80,-115,38
70,-128,48
70,-147,58
66,-165,81
79,-181,114
87,-190,159
89,-199,182
77,-219,183
69,-234,191
66,-241,189
66,-240,190
72,-238,189
75,-243,186
78,-242,186
78,-250,180
76,-249,179
80,-250,181
78,-250,180
80,-249,182
76,-250,182
76,-251,181
76,-249,181
78,-250,182
79,-250,181
77,-249,181
77,-250,180
76,-251,181
76,-250,182
78,-249,180
75,-249,180
76,-250,181
76,-249,180
78,-250,181
77,-248,181
77,-250,183
81,-249,181
79,-250,179
78,-250,182
78,-249,181
78,-250,180
78,-249,181
80,-251,181
77,-250,180
77,-250,179
77,-250,182
78,-250,182
77,-250,181
78,-250,182
78,-249,180
76,-248,180
76,-250,181
76,-250,181
75,-250,180
76,-249,182
80,-248,180
75,-248,181
78,-250,181
78,-250,183
76,-250,182
76,-250,180
78,-250,181
77,-250,179
79,-251,181
76,-250,181
77,-252,180
79,-249,183
77,-249,180
76,-249,181
76,-249,180
76,-250,181
79,-250,181
78,-250,181
78,-251,180
78,-251,181
78,-251,182
75,-249,181
75,-248,182
76,-250,181
77,-251,179
77,-250,181
78,-250,183
79,-249,180
77,-250,179
80,-251,182
78,-250,181
78,-250,181
81,-250,182
77,-250,182
78,-250,182
77,-250,181
75,-250,180
78,-248,182
79,-249,181
77,-250,181
78,-250,183
78,-251,182
78,-250,180
80,-250,180
76,-250,182
78,-250,183
77,-250,181
77,-250,180
79,-249,180
75,-249,181
78,-250,181
77,-250,182
76,-250,180
76,-251,181
79,-250,180
81,-250,180
77,-250,180
76,-250,180
78,-249,181
