X_cal,Y_cal,Z_cal
0.6322211974603528,-2.3182961838875378,-1.3072798653286826
0.6387408934584918,-2.317489659472745,-1.3087784228084929
0.6288131077716094,-2.309062837523264,-1.3018152933100808
0.6414569500822175,-2.317345480467112,-1.3094938294051368
0.65178028545477,-2.31587661064316,-1.3117755377681135
0.6509737610399774,-2.3223490760261516,-1.31468059775503
0.6242029439824034,-2.3161976483154145,-1.3039372024138305
0.6487831704951492,-2.3100664906693273,-1.3080873268980306
0.6452605894566309,-2.3166831350579526,-1.3102769802883032
0.6509737610399774,-2.3223490760261516,-1.31468059775503
0.6409314840033198,-2.3297722448295697,-1.3153716936654924
0.6364358115638888,-2.3210570648688207,-1.3098393773603678
0.6387408934584918,-2.317489659472745,-1.3087784228084929
0.6288131077716094,-2.309062837523264,-1.3018152933100808
0.6322211974603528,-2.3182961838875378,-1.3072798653286826
0.6371278446289065,-2.330434590238728,-1.3145885427823256
0.6379343690436992,-2.3239621248557367,-1.3116834827954094
0.6429555075620279,-2.3202505404540283,-1.3113379348401781
0.65178028545477,-2.31587661064316,-1.3117755377681135
0.6338342462899381,-2.3053512531215548,-1.3014697453548498
0.6372423359786815,-2.314584599485829,-1.3069343173734513
0.6235109109173856,-2.3068201229455068,-1.299188036991873
0.6364358115638888,-2.3210570648688207,-1.3098393773603678
0.6487831704951492,-2.3100664906693273,-1.3080873268980306
0.6322211974603528,-2.3182961838875378,-1.3072798653286826
0.6387408934584918,-2.317489659472745,-1.3087784228084929
0.6372423359786815,-2.314584599485829,-1.3069343173734513
0.6584144728026841,-2.299220095475468,-1.3056198698390495
0.6494752035601671,-2.3194440160392356,-1.3128364923199884
0.629224082500732,-2.3124860639137053,-1.3035916544585997
0.6322211974603528,-2.3182961838875378,-1.3072798653286826
0.6421489831472352,-2.3267230058370196,-1.3142429948270944
0.6494752035601671,-2.3194440160392356,-1.3128364923199884
0.6284175580859394,-2.318958529296697,-1.3064967144455162
0.6597985389327193,-2.3179751462152836,-1.3151182006829654
0.6544963420784957,-2.3157324316375263,-1.3124909443647574
0.6479766460803567,-2.316538956052319,-1.3109923868849471
0.65178028545477,-2.31587661064316,-1.3117755377681135
0.6437620319768206,-2.3137780750710366,-1.3084328748532617
0.6118555850511429,-2.327188222514908,-1.3056892528761679
0.6300306069155247,-2.306013598530714,-1.3006865944716834
0.6372423359786815,-2.314584599485829,-1.3069343173734513
0.6364358115638888,-2.3210570648688207,-1.3098393773603678
0.6322211974603528,-2.3182961838875378,-1.3072798653286826
