timestamp,eng_unit,acc_unit,simulated,tow,mag_x,mag_y,mag_z,amqp_topic
2025-11-18 21:38:15.962661,Microteslas,,false,2147483648,159,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.043632,Microteslas,,false,2147483648,158,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.124067,Microteslas,,false,2147483648,157,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.213428,Microteslas,,false,2147483648,155,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.285186,Microteslas,,false,2147483648,160,-334,19,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.365985,Microteslas,,false,2147483648,157,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.445754,Microteslas,,false,2147483648,157,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.526178,Microteslas,,false,2147483648,160,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.617112,Microteslas,,false,2147483648,158,-333,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.688448,Microteslas,,false,2147483648,158,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.769088,Microteslas,,false,2147483648,157,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.848918,Microteslas,,false,2147483648,158,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:16.930269,Microteslas,,false,2147483648,156,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.026574,Microteslas,,false,2147483648,156,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.090567,Microteslas,,false,2147483648,157,-335,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.172197,Microteslas,,false,2147483648,156,-334,14,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.252867,Microteslas,,false,2147483648,157,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.333197,Microteslas,,false,2147483648,159,-332,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.420301,Microteslas,,false,2147483648,158,-335,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.496006,Microteslas,,false,2147483648,157,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.575438,Microteslas,,false,2147483648,156,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.661970,Microteslas,,false,2147483648,160,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.736002,Microteslas,,false,2147483648,159,-334,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.823024,Microteslas,,false,2147483648,159,-336,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.896774,Microteslas,,false,2147483648,157,-334,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:17.977521,Microteslas,,false,2147483648,158,-334,14,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.058892,Microteslas,,false,2147483648,156,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.139750,Microteslas,,false,2147483648,157,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.220802,Microteslas,,false,2147483648,156,-337,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.300885,Microteslas,,false,2147483648,157,-334,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.381361,Microteslas,,false,2147483648,156,-334,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.461557,Microteslas,,false,2147483648,156,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.541742,Microteslas,,false,2147483648,156,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.623420,Microteslas,,false,2147483648,156,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.711966,Microteslas,,false,2147483648,160,-333,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.784838,Microteslas,,false,2147483648,156,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.866359,Microteslas,,false,2147483648,157,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:18.946958,Microteslas,,false,2147483648,157,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.025867,Microteslas,,false,2147483648,157,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.124055,Microteslas,,false,2147483648,157,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.188944,Microteslas,,false,2147483648,156,-333,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.268760,Microteslas,,false,2147483648,157,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.349003,Microteslas,,false,2147483648,159,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.428908,Microteslas,,false,2147483648,158,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.527480,Microteslas,,false,2147483648,155,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.590788,Microteslas,,false,2147483648,157,-334,14,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.671496,Microteslas,,false,2147483648,159,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.752070,Microteslas,,false,2147483648,157,-336,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.833324,Microteslas,,false,2147483648,159,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.924923,Microteslas,,false,2147483648,158,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:19.993919,Microteslas,,false,2147483648,156,-333,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.075919,Microteslas,,false,2147483648,157,-336,14,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.155114,Microteslas,,false,2147483648,158,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.239881,Microteslas,,false,2147483648,159,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.325101,Microteslas,,false,2147483648,159,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.396227,Microteslas,,false,2147483648,155,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.476802,Microteslas,,false,2147483648,156,-334,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.558365,Microteslas,,false,2147483648,157,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.637955,Microteslas,,false,2147483648,160,-334,14,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.719452,Microteslas,,false,2147483648,156,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.800213,Microteslas,,false,2147483648,157,-334,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.879839,Microteslas,,false,2147483648,157,-336,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:20.960459,Microteslas,,false,2147483648,157,-334,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.040999,Microteslas,,false,2147483648,160,-334,19,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.122688,Microteslas,,false,2147483648,157,-336,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.202775,Microteslas,,false,2147483648,157,-332,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.284445,Microteslas,,false,2147483648,158,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.367055,Microteslas,,false,2147483648,160,-335,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.445278,Microteslas,,false,2147483648,155,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.526078,Microteslas,,false,2147483648,157,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.620690,Microteslas,,false,2147483648,160,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.687368,Microteslas,,false,2147483648,157,-335,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.767791,Microteslas,,false,2147483648,157,-336,16,NAV.nav0.MAG_CALIBRATED
